,Gold and Foreign Exchange Position ,,,,,,,,,,,,
 ,2006-05-31, 17 392 , 142 455 , 159 846 , (23 195), -   , 21 455 , 21 455 , (3 493), 2 350 ,48, 20 361 ,6.64
 ,2006-06-30, 17 344 , 154 199 , 171 543 , (25 217), -   , 21 507 , 21 507 , (3 517), 2 148 ,46, 20 185 ,7.17
 ,2006-07-31, 17 437 , 148 504 , 165 941 , (24 072), -   , 21 601 , 21 601 , (3 501), 2 267 ,79, 20 447 ,6.875
 ,2006-08-31, 17 789 , 156 046 , 173 835 , (23 161), 2 499 , 21 916 , 24 415 , (3 253),-268,52, 20 946 ,7.12
 ,2006-09-30, 18 629 , 172 590 , 191 218 , (25 155), 2 400 , 22 226 , 24 626 , (3 240),-270,58, 21 174 ,7.765
 ,2006-10-31, 17 908 , 164 793 , 182 701 , (24 169), 2 404 , 22 119 , 24 523 , (3 244),26,103, 21 408 ,7.45
 ,2006-11-30, 18 501 , 162 836 , 181 337 , (21 747), 2 552 , 22 461 , 25 013 , (3 000),25,132, 22 171 ,7.25
 ,2006-12-31, 17 634 , 160 683 , 178 317 , (19 190), 2 530 , 23 054 , 25 584 , (2 754),29,129, 22 988 ,6.97
,,,,,,,,,,,,,
 ,2007-01-31, 18 690 , 169 006 , 187 696 , (19 597), 2 574 , 23 280 , 25 854 , (2 699),27,97, 23 280 ,7.26
 ,2007-02-28, 19 531 , 171 640 , 191 170 , (19 539), 2 688 , 23 626 , 26 314 , (2 690),29,83, 23 736 ,7.265
 ,2007-03-31, 19 224 , 173 485 , 192 709 , (19 584), 2 642 , 23 847 , 26 489 , (2 692),29,144, 23 970 ,7.275
 ,2007-04-30, 19 184 , 171 506 , 190 690 , (17 601), 2 715 , 24 276 , 26 991 , (2 492),31,63, 24 593 ,7.065
 ,2007-05-31, 18 729 , 179 374 , 198 103 , (17 751), 2 630 , 25 193 , 27 823 , (2 494),32,122, 25 483 ,7.12
 ,2007-06-30, 18 333 , 181 227 , 199 560 , (17 694), 2 595 , 25 651 , 28 246 , (2 505),33,167, 25 941 ,7.065
 ,2007-07-31, 18 902 , 188 841 , 207 743 , (17 746), 2 666 , 26 634 , 29 300 , (2 503),34,134, 26 965 ,7.09
 ,2007-08-31, 19 186 , 193 451 , 212 637 , (17 859), 2 689 , 27 112 , 29 801 , (2 504),35,117, 27 449 ,7.135
 ,2007-09-30, 20 311 , 189 128 , 209 439 , (15 476), 2 957 , 27 529 , 30 486 , (2 253),37,151, 28 422 ,6.87
 ,2007-10-31, 20 527 , 186 928 , 207 455 , (13 068), 3 139 , 28 583 , 31 722 , (1 999),40,167, 29 930 ,6.54
 ,2007-11-30, 21 425 , 196 509 , 217 933 , (11 763), 3 176 , 29 134 , 32 310 , (1 744),40,63, 30 670 ,6.745
 ,2007-12-31, 22 843 , 201 470 , 224 312 , (11 930), 3 354 , 29 584 , 32 938 , (1 752),41,72, 31 300 ,6.81
,,,,,,,,,,,,,
 ,2008-01-31, 27 419 , 222 010 , 249 429 , (11 154), 3 690 , 29 881 , 33 571 , (1 502),38,12, 32 120 ,7.43
 ,2008-02-29, 29 865 , 234 060 , 263 925 , (11 624), 3 866 , 30 300 , 34 166 , (1 505),37,25, 32 723 ,7.725
 ,2008-03-31, 30 334 , 247 959 , 278 293 , (11 310), 3 745 , 30 613 , 34 358 , (1 397),36,128, 33 125 ,8.1
 ,2008-04-30, 26 460 , 233 625 , 260 085 , (10 558), 3 484 , 30 761 , 34 245 , (1 390),38,79, 32 973 ,7.595
 ,2008-05-31, 26 940 , 234 605 , 261 545 , (8 681), 3 540 , 30 829 , 34 369 , (1 141),38,-37, 33 229 ,7.61
 ,2008-06-30, 29 046 , 243 034 , 272 080 , (8 941), 3 717 , 31 098 , 34 815 , (1 144),38,52, 33 761 ,7.815
 ,2008-07-31, 26 870 , 229 400 , 256 270 , (6 561), 3 666 , 31 295 , 34 961 ,-895,42,62, 34 171 ,7.33
 ,2008-08-31, 25 659 , 238 571 , 264 230 , (6 903), 3 330 , 30 963 , 34 293 ,-896,39,66, 33 502 ,7.705
 ,2008-09-30, 29 435 , 254 953 , 284 387 , (6 550), 3 559 , 30 828 , 34 387 ,-792,37,6, 33 638 ,8.27
 ,2008-10-31, 29 758 , 302 645 , 332 403 , (8 011), 2 943 , 29 936 , 32 879 ,-792,28,-5, 32 111 ,10.11
 ,2008-11-30, 32 934 , 303 408 , 336 342 , (6 559), 3 249 , 29 937 , 33 186 ,-647,30,7, 32 576 ,10.135
 ,2008-12-31, 32 426 , 284 565 , 316 991 , (6 041), 3 484 , 30 582 , 34 066 ,-649,33,5, 33 455 ,9.305
,,,,,,,,,,,,,
 ,2009-01-31, 37 702 , 306 091 , 343 793 , (6 520), 3 696 , 30 008 , 33 704 ,-639,30,2, 33 097 ,10.2
 ,2009-02-28, 38 387 , 300 795 , 339 182 , (6 468), 3 820 , 29 929 , 33 749 ,-643,29,15, 33 151 ,10.05
 ,2009-03-31, 35 175 , 288 379 , 323 554 , (6 198), 3 705 , 30 372 , 34 076 ,-653,32,2, 33 458 ,9.495
 ,2009-04-30, 29 953 , 257 951 , 287 904 , (5 428), 3 538 , 30 473 , 34 011 ,-641,36,12, 33 418 ,8.465
 ,2009-05-30, 31 044 , 253 590 , 284 633 , (5 237), 3 905 , 31 898 , 35 803 ,-659,-643,1, 34 502 ,7.95
 ,2009-06-30, 29 004 , 245 498 , 274 502 , (5 001), 3 774 , 31 945 , 35 719 ,-651,-494,0, 34 574 ,7.685
 ,2009-07-31, 29 269 , 249 426 , 278 695 , (5 076), 3 750 , 31 957 , 35 707 ,-650,-386,1, 34 673 ,7.805
 ,2009-08-31, 29 565 , 265 589 , 295 154 , (5 073), 3 798 , 34 115 , 37 913 ,-652,-341,1, 36 922 ,7.785
 ,2009-09-30, 29 973 , 260 926 , 290 899 , (2 604), 4 029 , 35 071 , 39 099 ,-350,-837,1, 37 914 ,7.44
 ,2009-10-31, 32 281 , 274 155 , 306 436 , (2 700), 4 187 , 35 558 , 39 745 ,-350,-613,1, 38 784 ,7.71
 ,2009-11-30, 34 887 , 265 613 , 300 500 , (2 601), 4 695 , 35 749 , 40 444 ,-350,-447,-60, 39 587 ,7.43
 ,2009-12-31, 32 753 , 259 948 , 292 701 , (2 585), 4 438 , 35 223 , 39 661 ,-350,-351,0, 38 960 ,7.38
,,,,,,,,,,,,,
 ,2010-01-31, 32 899 , 265 117 , 298 017 , (2 649), 4 355 , 35 092 , 39 446 ,-351,-466,0, 38 630 ,7.555
 ,2010-02-28, 34 358 , 269 591 , 303 949 , (2 700), 4 453 , 34 944 , 39 397 ,-350,-767,0, 38 281 ,7.715
 ,2010-03-31, 32 772 , 275 025 , 307 798 , (2 570), 4 468 , 37 495 , 41 963 ,-350, (3 331),1, 38 283 ,7.335
 ,2010-04-30, 34 553 , 275 486 , 310 039 , (2 571), 4 714 , 37 583 , 42 297 ,-351, (3 452),1, 38 496 ,7.33
 ,2010-05-31, 37 461 , 281 498 , 318 959 , (2 687), 4 881 , 36 677 , 41 558 ,-350, (3 312),32, 37 928 ,7.675
 ,2010-06-30, 37 965 , 284 146 , 322 111 , -   , 4 969 , 37 192 , 42 161 , -   , (3 974),1, 38 189 ,7.64
 ,2010-07-31, 34 584 , 281 659 , 316 242 , -   , 4 715 , 38 399 , 43 114 , -   , (4 450),1, 38 665 ,7.335
 ,2010-08-31, 36 850 , 282 657 , 319 507 , -   , 4 970 , 38 120 , 43 089 , -   , (4 416),504, 39 178 ,7.415
 ,2010-09-30, 36 774 , 270 502 , 307 275 , -   , 5 268 , 38 754 , 44 022 , -   , (4 290), 1 122 , 40 854 ,6.98
 ,2010-10-31, 37 710 , 269 817 , 307 527 , -   , 5 414 , 38 739 , 44 153 , -   , (4 165), 3 124 , 43 113 ,6.965
 ,2010-11-30, 39 301 , 269 813 , 309 114 , -   , 5 512 , 37 839 , 43 351 , -   , (4 049), 3 779 , 43 080 ,7.1305
 ,2010-12-31, 37 492 , 253 134 , 290 627 , -   , 5 654 , 38 171 , 43 825 , -   , (4 654), 4 183 , 43 353 ,6.6316
,,,,,,,,,,,,,
 ,2011-01-31, 38 303 , 288 090 , 326 394 , -   , 5 336 , 40 134 , 45 470 , -   , (5 330), 4 312 , 44 451 ,7.17825
 ,2011-02-28, 39 543 , 289 894 , 329 437 , -   , 5 678 , 41 628 , 47 307 , -   , (6 583), 4 051 , 44 775 ,6.96385
 ,2011-03-31, 39 098 , 295 521 , 334 619 , -   , 5 756 , 43 507 , 49 263 , -   , (8 626), 4 087 , 44 725 ,6.79245
 ,2011-04-30, 40 721 , 292 828 , 333 549 , -   , 6 177 , 44 419 , 50 596 , -   , (8 498), 3 940 , 46 039 ,6.59235
 ,2011-05-31, 42 320 , 301 499 , 343 819 , -   , 6 169 , 43 948 , 50 116 , -   , (8 403), 4 151 , 45 864 ,6.8604
 ,2011-06-30, 41 306 , 299 780 , 341 086 , -   , 6 060 , 43 980 , 50 039 , -   , (8 323), 5 446 , 47 162 ,6.81635
 ,2011-07-31, 43 746 , 293 612 , 337 358 , -   , 6 498 , 43 611 , 50 108 , -   , (8 160), 5 926 , 47 874 ,6.7326
 ,2011-08-31, 51 661 , 310 403 , 362 064 , -   , 7 341 , 44 107 , 51 448 , -   , (8 124), 5 801 , 49 125 ,7.03745
 ,2011-09-30, 52 648 , 349 208 , 401 856 , -   , 6 514 , 43 204 , 49 717 , -   , (8 000), 6 212 , 47 930 ,8.0828
 ,2011-10-31, 53 875 , 338 608 , 392 484 , -   , 6 910 , 43 427 , 50 336 , -   , (7 749), 6 633 , 49 221 ,7.7972
 ,2011-11-30, 57 361 , 356 138 , 413 499 , -   , 6 887 , 42 760 , 49 647 , -   , (7 598), 6 583 , 48 633 ,8.32875
 ,2011-12-31, 51 076 , 346 742 , 397 818 , -   , 6 272 , 42 582 , 48 855 , -   , (7 521), 6 534 , 47 867 ,8.1429
,,,,,,,,,,,,,
 ,2012-01-31, 54 394 , 345 894 , 400 287 , -   , 6 991 , 44 457 , 51 448 , -   , (8 931), 6 555 , 49 072 ,7.7804
 ,2012-02-29, 53 329 , 332 223 , 385 552 , -   , 7 177 , 44 708 , 51 884 , -   , (8 863), 6 618 , 49 639 ,7.431
 ,2012-03-31, 51 420 , 337 456 , 388 876 , -   , 6 701 , 43 978 , 50 679 , -   , (8 804), 7 037 , 48 912 ,7.6733
 ,2012-04-30, 51 639 , 335 103 , 386 742 , -   , 6 668 , 43 269 , 49 937 , -   , (7 522), 6 409 , 48 823 ,7.74465
 ,2012-05-31, 53 568 , 363 673 , 417 241 , -   , 6 278 , 42 624 , 48 902 , -   , (7 500), 6 270 , 47 672 ,8.53215
 ,2012-06-30, 52 347 , 351 368 , 403 715 , -   , 6 382 , 42 835 , 49 217 , -   , (7 502), 6 221 , 47 936 ,8.2028
 ,2012-07-31, 53 425 , 350 690 , 404 114 , -   , 6 530 , 42 862 , 49 391 , -   , (7 509), 6 092 , 47 974 ,8.1819
 ,2012-08-31, 56 181 , 364 298 , 420 478 , -   , 6 679 , 43 308 , 49 987 , -   , (7 646), 5 937 , 48 278 ,8.4118
 ,2012-09-30, 59 286 , 364 101 , 423 387 , -   , 7 138 , 43 840 , 50 979 , -   , (7 854), 5 623 , 48 748 ,8.30515
 ,2012-10-31, 60 037 , 379 542 , 439 579 , -   , 6 920 , 43 746 , 50 665 , -   , (7 634), 5 595 , 48 626 ,8.6761
 ,2012-11-30, 61 375 , 386 733 , 448 108 , -   , 6 959 , 43 850 , 50 809 , -   , (7 698), 5 320 , 48 431 ,8.8194
 ,2012-12-31, 56 982 , 373 960 , 430 942 , -   , 6 707 , 44 018 , 50 724 , -   , (8 011), 5 234 , 47 948 ,8.4956
,,,,,,,,,,,,,
 ,2013-01-31, 60 349 , 398 318 , 458 667 , -   , 6 740 , 44 484 , 51 223 , -   , (7 885), 4 791 , 48 130 ,8.9541
 ,2013-02-28, 57 214 , 393 504 , 450 719 , -   , 6 394 , 43 974 , 50 367 , -   , (7 826), 4 669 , 47 211 ,8.9485
 ,2013-03-31, 59 290 , 400 656 , 459 946 , -   , 6 446 , 43 560 , 50 006 , -   , (8 728), 4 806 , 46 084 ,9.1979
 ,2013-04-30, 53 271 , 400 169 , 453 440 , -   , 5 910 , 44 395 , 50 305 , -   , (8 480), 4 009 , 45 834 ,9.01385
 ,2013-05-30, 57 438 , 430 907 , 488 345 , -   , 5 661 , 42 472 , 48 133 , -   , (6 600), 3 883 , 45 416 ,10.14575
 ,2013-06-30, 48 125 , 421 415 , 469 541 , -   , 4 815 , 42 162 , 46 976 , -   , (6 529), 4 157 , 44 604 ,9.99525
 ,2013-07-31, 52 641 , 416 091 , 468 732 , -   , 5 314 , 42 004 , 47 318 , -   , (6 388), 4 245 , 45 176 ,9.90595
 ,2013-08-31, 58 048 , 436 645 , 494 693 , -   , 5 626 , 42 317 , 47 942 , -   , (6 364), 4 009 , 45 588 ,10.3185
 ,2013-09-30, 53 857 , 448 752 , 502 609 , -   , 5 360 , 44 657 , 50 017 , -   , (8 171), 3 908 , 45 753 ,10.04875
 ,2013-10-31, 53 163 , 442 406 , 495 570 , -   , 5 332 , 44 370 , 49 702 , -   , (7 950), 4 021 , 45 773 ,9.97075
 ,2013-11-30, 51 254 , 452 226 , 503 480 , -   , 5 024 , 44 324 , 49 347 , -   , (7 804), 3 886 , 45 430 ,10.20275
 ,2013-12-31, 50 621 , 469 568 , 520 189 , -   , 4 825 , 44 758 , 49 583 , -   , (7 688), 3 584 , 45 479 ,10.49125
,,,,,,,,,,,,,
 ,2014-01-31, 56 679 , 499 966 , 556 645 , -   , 5 025 , 44 323 , 49 347 , -   , (7 943), 3 514 , 44 918 ,11.28015
 ,2014-02-28, 57 249 , 479 843 , 537 092 , -   , 5 344 , 44 791 , 50 135 , -   , (8 073), 3 275 , 45 337 ,10.713
 ,2014-03-31, 55 062 , 468 097 , 523 159 , -   , 5 205 , 44 247 , 49 452 , -   , (7 971), 3 561 , 45 042 ,10.5792
 ,2014-04-30, 54 940 , 467 777 , 522 717 , -   , 5 208 , 44 342 , 49 550 , -   , (7 974), 3 281 , 44 857 ,10.5493
 ,2014-05-31, 52 796 , 462 866 , 515 662 , -   , 5 038 , 44 168 , 49 206 , -   , (7 919), 3 219 , 44 506 ,10.47965
 ,2014-06-30, 56 018 , 459 697 , 515 715 , -   , 5 284 , 43 357 , 48 641 , -   , (6 930), 3 117 , 44 828 ,10.6025
 ,2014-07-31, 55 603 , 478 369 , 533 973 , -   , 5 195 , 44 690 , 49 885 , -   , (8 545), 2 975 , 44 315 ,10.7041
 ,2014-08-31, 54 971 , 473 826 , 528 797 , -   , 5 173 , 44 591 , 49 764 , -   , (8 462), 2 938 , 44 240 ,10.62615
 ,2014-09-30, 55 086 , 501 740 , 556 826 , -   , 4 860 , 44 266 , 49 126 , -   , (8 718), 2 920 , 43 329 ,11.33465
 ,2014-10-31, 51 294 , 480 279 , 531 574 , -   , 4 697 , 43 978 , 48 675 , -   , (8 503), 2 913 , 43 085 ,10.9209
 ,2014-11-30, 52 592 , 483 100 , 535 692 , -   , 4 765 , 43 771 , 48 536 , -   , (8 485), 2 894 , 42 946 ,11.0369
,2014-12-31, 55 887 , 512 636 , 568 523 , -   , 4 826 , 44 265 , 49 091 , -   , (8 340), 1 975 , 42 727 ,11.58095
,,,,,,,,,,,,,
,2015-01-31, 58 942 , 492 812 , 551 754 , -   , 5 086 , 42 522 , 47 608 , -   , (8 094), 2 632 , 42 145 ,11.5895
,2015-02-28, 56 589 , 491 925 , 548 514 , -   , 4 868 , 42 318 , 47 186 , -   , (8 034), 2 771 , 41 923 ,11.6244
,2015-03-31, 58 187 , 507 241 , 565 428 , -   , 4 779 , 41 656 , 46 435 , -   , (7 862), 2 702 , 41 275 ,12.1768
,2015-04-30, 57 360 , 498 780 , 556 140 , -   , 4 850 , 42 174 , 47 025 , -   , (7 724), 2 634 , 41 934 ,11.8266
,2015-05-31, 58 248 , 507 422 , 565 670 , -   , 4 782 , 41 657 , 46 439 , -   , (7 591), 2 671 , 41 519 ,12.181
,2015-06-30, 57 546 , 513 664 , 571 210 , -   , 4 718 , 42 109 , 46 827 , -   , (7 535), 2 298 , 41 590 ,12.1983
,2015-07-31, 55 303 , 524 575 , 579 877 , -   , 4 370 , 41 450 , 45 820 , -   , (7 365), 2 553 , 41 007 ,12.6556
,2015-08-31, 60 585 , 554 176 , 614 761 , -   , 4 541 , 41 533 , 46 074 , -   , (7 326), 2 497 , 41 244 ,13.34305
,2015-09-30, 62 593 , 577 462 , 640 056 , -   , 4 510 , 41 607 , 46 117 , -   , (7 153), 2 190 , 41 153 ,13.879
,2015-10-31, 63 759 , 571 743 , 635 503 , -   , 4 619 , 41 423 , 46 042 , -   , (6 962), 2 228 , 41 308 ,13.80265
,2015-11-30, 61 417 , 590 463 , 651 880 , -   , 4 253 , 40 886 , 45 139 , -   , (6 773), 2 106 , 40 471 ,14.4417
,2015-12-31, 66 692 , 647 201 , 713 893 , -   , 4 277 , 41 503 , 45 780 , -   , (6 549), 1 424 , 40 654 ,15.5941
,2016-01-31, 72 097 , 653 111 , 725 208 , -   , 4 485 , 40 627 , 45 112 , -   , (6 409), 2 050 , 40 753 ,16.07585
,2016-02-29, 79 655 , 654 981 , 734 635 , -   , 4 960 , 40 781 , 45 740 , -   , (6 654), 1 871 , 40 958 ,16.061
,2016-03-31, 73 190 , 615 755 , 688 945 , -   , 4 968 , 41 797 , 46 765 , -   , (7 037), 1 447 , 41 175 ,14.7321
,2016-04-30, 72 490 , 588 776 , 661 266 , -   , 5 144 , 41 812 , 46 956 , -   , (7 637), 1 837 , 41 157 ,14.1646
,2016-05-31, 76 866 , 648 761 , 725 627 , -   , 4 873 , 41 207 , 46 081 , -   , (7 241), 1 640 , 40 480 ,15.773
,2016-06-30, 78 368 , 605 482 , 683 850 , -   , 5 305 , 41 061 , 46 366 , -   , (7 157), 1 616 , 40 826 ,14.7714
,2016-07-31, 76 246 , 576 755 , 653 001 , -   , 5 389 , 40 768 , 46 157 , -   , (6 979), 1 723 , 40 901 ,14.149
,2016-08-31, 76 756 , 587 527 , 664 283 , -   , 5 281 , 40 426 , 45 708 , -   , (6 683), 1 771 , 40 795 ,14.533
,2016-09-30, 73 876 , 581 492 , 655 369 , (13 904), 5 326 , 41 921 , 47 247 , (1 000), (6 495), 2 201 , 41 953 ,13.8711
,2016-10-31, 69 535 , 578 809 , 648 344 , -   , 5 132 , 42 717 , 47 848 , -   , (8 544), 2 495 , 41 799 ,13.55
,2016-11-30, 66 840 , 591 658 , 658 498 , -   , 4 775 , 42 268 , 47 043 , -   , (8 378), 2 412 , 41 077 ,13.9986
,2016-12-31, 63 811 , 584 013 , 647 824 , -   , 4 665 , 42 691 , 47 356 , -   , (8 317), 1 771 , 40 809 ,13.6799
,2017-01-31, 65 303 , 562 141 , 627 444 , -   , 4 855 , 41 811 , 46 666 , -   , (8 248), 2 956 , 41 373 ,13.4502
,2017-02-28, 65 769 , 542 632 , 608 401 , -   , 5 051 , 41 671 , 46 722 , -   , (8 187), 2 970 , 41 506 ,13.0211
,2017-03-31, 66 338 , 551 916 , 618 254 , -   , 4 999 , 41 589 , 46 588 , -   , (8 036), 2 867 , 41 419 ,13.2708
,2017-04-30,67 457,550 553,618 010, -   ,5 096,41 594,46 690, -   , (7 855),2 893,41 728,13.2365
,2017-05-31,66 958,553 279,620 237, -   ,5 100,42 141,47 241, -   , (7 729),2 504,42 016,13.1291
,2017-06-30,65 407,552 969,618 376, -   ,5 009,42 343,47 352, -   , (7 581),2 464,42 235,13.0592
,2017-07-31,66 986,545 803,612 789, -   ,5 110,41 636,46 746, -   , (7 445),3 113,42 414,13.1088
,2017-08-31,68 798,544 617,613 415, -   ,5 262,41 658,46 921, -   , (7 408),3 133,42 646,13.0735
,2017-09-30,70 044,596 590,666 634,,5 189,44 195,49 384,,(9 732),2 999,42 651,13.4991
,,,,,,,,,,,,,
,NOTES:,,,,,,,,,,,,
,,,,,,,,,,,,,
,The Rand values would not agree with the exchange rate due to system change during the month of April 2016,,,,,,,,,,,,
,Figures might not add up due to rounding.,,,,,,,,,,,,
,"The Minister of Finance has on 6 March 2005, after consultation with the South African Reserve Bank (“SARB”), under section 25(1) of the South African Reserve Bank Act, 1989 (Act No. 90 of 1989), ",,,,,,,,,,,,
,"determined that, for statutory price purposes, all gold  of the SARB be valued at the market prices taken at 14h30 on each valuation date.",,,,,,,,,,,,
